MSA,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
ATLANTA,2005Q1,"$209,243","$152,709","$56,534",27.0%,1.214,1.126
ATLANTA,2005Q2,"$212,445","$155,255","$57,191",26.9%,1.232,1.144
ATLANTA,2005Q3,"$213,313","$157,611","$55,702",26.1%,1.237,1.120
ATLANTA,2005Q4,"$216,454","$160,086","$56,368",26.0%,1.255,1.139
ATLANTA,2006Q1,"$220,585","$162,952","$57,633",26.1%,1.279,1.173
ATLANTA,2006Q2,"$221,887","$165,823","$56,063",25.3%,1.287,1.147
ATLANTA,2006Q3,"$222,003","$168,481","$53,522",24.1%,1.288,1.101
ATLANTA,2006Q4,"$223,749","$170,654","$53,095",23.7%,1.298,1.098
ATLANTA,2007Q1,"$226,007","$172,246","$53,760",23.8%,1.311,1.119
ATLANTA,2007Q2,"$225,996","$173,542","$52,454",23.2%,1.311,1.097
ATLANTA,2007Q3,"$222,787","$175,133","$47,654",21.4%,1.292,1.000
ATLANTA,2007Q4,"$219,312","$177,585","$41,727",19.0%,1.272,0.879
ATLANTA,2008Q1,"$214,586","$181,201","$33,385",15.6%,1.245,0.705
ATLANTA,2008Q2,"$207,613","$185,255","$22,358",10.8%,1.204,0.473
ATLANTA,2008Q3,"$201,875","$188,787","$13,088",6.5%,1.171,0.277
ATLANTA,2008Q4,"$194,219","$184,508","$9,711",5.0%,1.126,0.072
ATLANTA,2009Q1,"$182,932","$173,785","$9,147",5.0%,1.061,0.000
ATLANTA,2009Q2,"$177,599","$168,719","$8,880",5.0%,1.030,0.000
ATLANTA,2009Q3,"$179,918","$166,938","$12,980",7.2%,1.044,0.000
ATLANTA,2009Q4,"$182,781","$165,617","$17,165",9.4%,1.060,0.000
ATLANTA,2010Q1,"$180,830","$165,408","$15,422",8.5%,1.049,0.000
ATLANTA,2010Q2,"$179,634","$166,237","$13,397",7.5%,1.042,0.000
ATLANTA,2010Q3,"$175,498","$166,723","$8,775",5.0%,1.018,0.000
ATLANTA,2010Q4,"$169,815","$161,324","$8,491",5.0%,0.985,0.000
ATLANTA,2011Q1,"$172,601","$163,223","$9,378",5.4%,1.001,0.000
ATLANTA,2011Q2,"$171,355","$162,787","$8,568",5.0%,0.994,0.000
ATLANTA,2011Q3,"$162,954","$154,806","$8,148",5.0%,0.945,0.000
ATLANTA,2011Q4,"$149,542","$142,065","$7,477",5.0%,0.867,0.000
ATLANTA,2012Q1,"$144,088","$136,883","$7,204",5.0%,0.836,0.000
ATLANTA,2012Q2,"$146,178","$137,377","$8,802",6.0%,0.848,0.000
ATLANTA,2012Q3,"$154,007","$137,814","$16,193",10.5%,0.893,0.000
ATLANTA,2012Q4,"$160,785","$138,335","$22,450",14.0%,0.933,0.000
ATLANTA,2013Q1,"$167,685","$139,053","$28,633",17.1%,0.973,0.000
ATLANTA,2013Q2,"$175,114","$139,947","$35,167",20.1%,1.016,0.000
ATLANTA,2013Q3,"$182,592","$140,965","$41,627",22.8%,1.059,0.000
ATLANTA,2013Q4,"$190,621","$142,055","$48,566",25.5%,1.106,0.000
ATLANTA,2014Q1,"$194,880","$145,669","$49,212",25.3%,1.130,0.000
ATLANTA,2014Q2,"$194,341","$145,476","$48,865",25.1%,1.127,0.000
ATLANTA,2014Q3,"$192,523","$149,818","$42,705",22.2%,1.117,0.000
ATLANTA,2014Q4,"$199,818","$152,869","$46,949",23.5%,1.159,0.000
ATLANTA,2015Q1,"$205,206","$153,169","$52,037",25.4%,1.190,0.000
BALTIMORE,1984Q4,"$110,710","$59,848","$50,862",45.9%,0.536,0.432
BALTIMORE,1985Q1,"$112,417","$60,341","$52,076",46.3%,0.544,0.443
BALTIMORE,1985Q2,"$114,389","$61,085","$53,304",46.6%,0.553,0.454
BALTIMORE,1985Q3,"$116,142","$61,941","$54,201",46.7%,0.562,0.463
BALTIMORE,1985Q4,"$117,416","$62,830","$54,585",46.5%,0.568,0.468
BALTIMORE,1986Q1,"$119,549","$63,775","$55,774",46.7%,0.578,0.481
BALTIMORE,1986Q2,"$122,838","$64,576","$58,262",47.4%,0.594,0.504
BALTIMORE,1986Q3,"$126,911","$65,336","$61,575",48.5%,0.614,0.534
BALTIMORE,1986Q4,"$130,452","$66,068","$64,384",49.4%,0.631,0.560
BALTIMORE,1987Q1,"$133,011","$66,690","$66,321",49.9%,0.644,0.577
BALTIMORE,1987Q2,"$138,146","$67,429","$70,717",51.2%,0.668,0.617
BALTIMORE,1987Q3,"$142,619","$68,193","$74,426",52.2%,0.690,0.651
BALTIMORE,1987Q4,"$145,486","$68,979","$76,507",52.6%,0.704,0.672
BALTIMORE,1988Q1,"$148,606","$69,881","$78,725",53.0%,0.719,0.694
BALTIMORE,1988Q2,"$152,662","$70,662","$82,000",53.7%,0.739,0.725
BALTIMORE,1988Q3,"$156,443","$71,404","$85,039",54.4%,0.757,0.755
BALTIMORE,1988Q4,"$159,017","$72,088","$86,929",54.7%,0.769,0.774
BALTIMORE,1989Q1,"$161,907","$72,736","$89,171",55.1%,0.783,0.796
BALTIMORE,1989Q2,"$165,441","$73,345","$92,096",55.7%,0.800,0.824
BALTIMORE,1989Q3,"$167,387","$73,992","$93,395",55.8%,0.810,0.837
BALTIMORE,1989Q4,"$169,311","$74,736","$94,575",55.9%,0.819,0.849
BALTIMORE,1990Q1,"$171,358","$75,513","$95,844",55.9%,0.829,0.861
BALTIMORE,1990Q2,"$173,352","$76,485","$96,867",55.9%,0.839,0.872
BALTIMORE,1990Q3,"$174,473","$77,454","$97,019",55.6%,0.844,0.874
BALTIMORE,1990Q4,"$173,540","$78,318","$95,222",54.9%,0.840,0.860
BALTIMORE,1991Q1,"$172,508","$79,021","$93,486",54.2%,0.835,0.846
BALTIMORE,1991Q2,"$174,325","$79,587","$94,738",54.3%,0.843,0.859
BALTIMORE,1991Q3,"$174,633","$80,107","$94,526",54.1%,0.845,0.858
BALTIMORE,1991Q4,"$175,185","$80,665","$94,520",54.0%,0.848,0.860
BALTIMORE,1992Q1,"$176,757","$81,542","$95,215",53.9%,0.855,0.870
BALTIMORE,1992Q2,"$175,710","$82,177","$93,532",53.2%,0.850,0.856
BALTIMORE,1992Q3,"$176,557","$82,736","$93,820",53.1%,0.854,0.859
BALTIMORE,1992Q4,"$177,321","$83,162","$94,159",53.1%,0.858,0.862
BALTIMORE,1993Q1,"$174,883","$83,117","$91,766",52.5%,0.846,0.836
BALTIMORE,1993Q2,"$177,098","$83,335","$93,762",52.9%,0.857,0.854
BALTIMORE,1993Q3,"$176,955","$83,551","$93,403",52.8%,0.856,0.850
BALTIMORE,1993Q4,"$176,467","$83,796","$92,671",52.5%,0.854,0.843
BALTIMORE,1994Q1,"$176,653","$84,108","$92,545",52.4%,0.855,0.843
BALTIMORE,1994Q2,"$179,138","$84,510","$94,628",52.8%,0.867,0.863
BALTIMORE,1994Q3,"$179,339","$85,048","$94,291",52.6%,0.868,0.861
BALTIMORE,1994Q4,"$179,443","$85,759","$93,684",52.2%,0.868,0.857
BALTIMORE,1995Q1,"$178,867","$86,850","$92,017",51.4%,0.865,0.845
BALTIMORE,1995Q2,"$178,887","$87,824","$91,063",50.9%,0.865,0.838
BALTIMORE,1995Q3,"$179,333","$88,798","$90,535",50.5%,0.868,0.834
BALTIMORE,1995Q4,"$179,418","$89,703","$89,715",50.0%,0.868,0.828
BALTIMORE,1996Q1,"$178,842","$90,358","$88,484",49.5%,0.865,0.816
BALTIMORE,1996Q2,"$181,176","$91,060","$90,116",49.7%,0.877,0.832
BALTIMORE,1996Q3,"$181,572","$91,697","$89,875",49.5%,0.878,0.830
BALTIMORE,1996Q4,"$180,736","$92,281","$88,455",48.9%,0.874,0.818
BALTIMORE,1997Q1,"$181,058","$92,833","$88,225",48.7%,0.876,0.817
BALTIMORE,1997Q2,"$183,090","$93,378","$89,712",49.0%,0.886,0.832
BALTIMORE,1997Q3,"$182,591","$93,954","$88,637",48.5%,0.883,0.824
BALTIMORE,1997Q4,"$181,693","$94,598","$87,094",47.9%,0.879,0.811
BALTIMORE,1998Q1,"$182,812","$95,391","$87,421",47.8%,0.884,0.816
BALTIMORE,1998Q2,"$186,123","$96,149","$89,975",48.3%,0.900,0.842
BALTIMORE,1998Q3,"$187,256","$96,854","$90,401",48.3%,0.906,0.847
BALTIMORE,1998Q4,"$188,393","$97,438","$90,955",48.3%,0.911,0.854
BALTIMORE,1999Q1,"$190,389","$97,889","$92,500",48.6%,0.921,0.870
BALTIMORE,1999Q2,"$193,908","$98,237","$95,670",49.3%,0.938,0.901
BALTIMORE,1999Q3,"$198,056","$98,626","$99,431",50.2%,0.958,0.938
BALTIMORE,1999Q4,"$199,612","$99,169","$100,443",50.3%,0.966,0.948
BALTIMORE,2000Q1,"$201,482","$99,730","$101,752",50.5%,0.975,0.959
BALTIMORE,2000Q2,"$206,696","$100,793","$105,903",51.2%,1.000,1.000
BALTIMORE,2000Q3,"$210,502","$102,045","$108,457",51.5%,1.018,1.026
BALTIMORE,2000Q4,"$212,028","$103,392","$108,636",51.2%,1.026,1.031
BALTIMORE,2001Q1,"$214,832","$105,093","$109,739",51.1%,1.039,1.048
BALTIMORE,2001Q2,"$221,173","$106,369","$114,805",51.9%,1.070,1.100
BALTIMORE,2001Q3,"$226,870","$107,537","$119,333",52.6%,1.098,1.146
BALTIMORE,2001Q4,"$231,281","$108,595","$122,686",53.0%,1.119,1.180
BALTIMORE,2002Q1,"$234,414","$109,338","$125,076",53.4%,1.134,1.203
BALTIMORE,2002Q2,"$245,324","$110,216","$135,109",55.1%,1.187,1.301
BALTIMORE,2002Q3,"$254,451","$110,982","$143,469",56.4%,1.231,1.384
BALTIMORE,2002Q4,"$262,088","$111,590","$150,498",57.4%,1.268,1.454
BALTIMORE,2003Q1,"$267,655","$112,171","$155,483",58.1%,1.295,1.506
BALTIMORE,2003Q2,"$281,391","$112,780","$168,611",59.9%,1.361,1.636
BALTIMORE,2003Q3,"$294,164","$113,885","$180,279",61.3%,1.423,1.751
BALTIMORE,2003Q4,"$303,242","$115,852","$187,390",61.8%,1.467,1.823
BALTIMORE,2004Q1,"$310,779","$118,848","$191,931",61.8%,1.504,1.868
BALTIMORE,2004Q2,"$331,529","$122,649","$208,880",63.0%,1.604,2.035
BALTIMORE,2004Q3,"$349,169","$126,665","$222,504",63.7%,1.689,2.170
BALTIMORE,2004Q4,"$358,817","$130,360","$228,457",63.7%,1.736,2.230
BALTIMORE,2005Q1,"$371,752","$133,307","$238,446",64.1%,1.799,2.329
BALTIMORE,2005Q2,"$396,661","$135,731","$260,930",65.8%,1.919,2.550
BALTIMORE,2005Q3,"$415,785","$137,854","$277,931",66.8%,2.012,2.719
BALTIMORE,2005Q4,"$422,549","$139,930","$282,619",66.9%,2.044,2.767
BALTIMORE,2006Q1,"$427,823","$142,097","$285,726",66.8%,2.070,2.799
BALTIMORE,2006Q2,"$439,185","$144,379","$294,807",67.1%,2.125,2.891
BALTIMORE,2006Q3,"$439,477","$146,518","$292,959",66.7%,2.126,2.875
BALTIMORE,2006Q4,"$432,954","$148,318","$284,636",65.7%,2.095,2.797
BALTIMORE,2007Q1,"$434,952","$149,842","$285,110",65.5%,2.104,2.806
BALTIMORE,2007Q2,"$440,981","$151,067","$289,913",65.7%,2.133,2.856
BALTIMORE,2007Q3,"$437,028","$152,535","$284,493",65.1%,2.114,2.805
BALTIMORE,2007Q4,"$424,318","$154,659","$269,658",63.6%,2.053,2.661
BALTIMORE,2008Q1,"$412,759","$157,669","$255,090",61.8%,1.997,2.519
BALTIMORE,2008Q2,"$408,288","$161,097","$247,191",60.5%,1.975,2.443
BALTIMORE,2008Q3,"$401,263","$164,238","$237,025",59.1%,1.941,2.343
BALTIMORE,2008Q4,"$383,466","$166,397","$217,070",56.6%,1.855,2.147
BALTIMORE,2009Q1,"$369,986","$167,124","$202,862",54.8%,1.790,2.007
BALTIMORE,2009Q2,"$371,081","$166,820","$204,261",55.0%,1.795,2.022
BALTIMORE,2009Q3,"$371,882","$166,145","$205,737",55.3%,1.799,2.036
BALTIMORE,2009Q4,"$364,022","$165,752","$198,271",54.5%,1.761,1.963
BALTIMORE,2010Q1,"$357,581","$165,889","$191,692",53.6%,1.730,1.895
BALTIMORE,2010Q2,"$363,103","$167,099","$196,004",54.0%,1.757,1.938
BALTIMORE,2010Q3,"$355,463","$168,896","$186,568",52.5%,1.720,1.846
BALTIMORE,2010Q4,"$347,728","$171,053","$176,675",50.8%,1.682,1.750
BALTIMORE,2011Q1,"$340,290","$173,594","$166,696",49.0%,1.646,1.656
BALTIMORE,2011Q2,"$342,994","$175,799","$167,194",48.7%,1.659,1.663
BALTIMORE,2011Q3,"$341,812","$177,739","$164,073",48.0%,1.654,1.634
BALTIMORE,2011Q4,"$335,145","$179,254","$155,891",46.5%,1.621,1.554
BALTIMORE,2012Q1,"$330,791","$180,198","$150,593",45.5%,1.600,1.502
BALTIMORE,2012Q2,"$341,631","$180,889","$160,742",47.1%,1.653,1.605
BALTIMORE,2012Q3,"$346,192","$181,471","$164,721",47.6%,1.675,1.646
BALTIMORE,2012Q4,"$345,255","$182,155","$163,100",47.2%,1.670,1.631
BALTIMORE,2013Q1,"$347,482","$183,115","$164,367",47.3%,1.681,1.645
BALTIMORE,2013Q2,"$359,785","$184,330","$175,455",48.8%,1.741,1.758
BALTIMORE,2013Q3,"$364,529","$185,708","$178,820",49.1%,1.764,1.793
BALTIMORE,2013Q4,"$361,307","$187,163","$174,145",48.2%,1.748,1.748
BALTIMORE,2014Q1,"$359,070","$191,922","$167,148",46.6%,1.737,1.679
BALTIMORE,2014Q2,"$367,498","$191,680","$175,818",47.8%,1.778,1.768
BALTIMORE,2014Q3,"$366,588","$197,429","$169,160",46.1%,1.774,1.703
BALTIMORE,2014Q4,"$362,322","$201,448","$160,874",44.4%,1.753,1.621
BALTIMORE,2015Q1,"$356,724","$201,819","$154,905",43.4%,1.726,1.562
BIRMINGHAM,1984Q4,"$73,314","$60,533","$12,781",17.4%,0.533,0.259
BIRMINGHAM,1985Q1,"$74,058","$60,922","$13,136",17.7%,0.539,0.267
BIRMINGHAM,1985Q2,"$75,803","$61,334","$14,470",19.1%,0.552,0.294
BIRMINGHAM,1985Q3,"$77,079","$61,739","$15,340",19.9%,0.561,0.313
BIRMINGHAM,1985Q4,"$77,853","$62,108","$15,746",20.2%,0.567,0.322
BIRMINGHAM,1986Q1,"$78,733","$62,419","$16,313",20.7%,0.573,0.334
BIRMINGHAM,1986Q2,"$80,201","$62,696","$17,505",21.8%,0.584,0.359
BIRMINGHAM,1986Q3,"$81,703","$62,971","$18,732",22.9%,0.595,0.385
BIRMINGHAM,1986Q4,"$82,833","$63,275","$19,558",23.6%,0.603,0.403
BIRMINGHAM,1987Q1,"$84,066","$63,633","$20,433",24.3%,0.612,0.422
BIRMINGHAM,1987Q2,"$85,157","$64,033","$21,123",24.8%,0.620,0.437
BIRMINGHAM,1987Q3,"$85,464","$64,456","$21,008",24.6%,0.622,0.435
BIRMINGHAM,1987Q4,"$85,471","$64,881","$20,590",24.1%,0.622,0.427
BIRMINGHAM,1988Q1,"$86,600","$65,293","$21,307",24.6%,0.630,0.443
BIRMINGHAM,1988Q2,"$87,988","$65,708","$22,280",25.3%,0.640,0.464
BIRMINGHAM,1988Q3,"$88,224","$66,133","$22,092",25.0%,0.642,0.461
BIRMINGHAM,1988Q4,"$87,470","$66,577","$20,894",23.9%,0.636,0.436
BIRMINGHAM,1989Q1,"$88,518","$67,075","$21,443",24.2%,0.644,0.449
BIRMINGHAM,1989Q2,"$89,775","$67,543","$22,232",24.8%,0.653,0.466
BIRMINGHAM,1989Q3,"$90,627","$67,976","$22,651",25.0%,0.659,0.476
BIRMINGHAM,1989Q4,"$91,487","$68,344","$23,143",25.3%,0.666,0.486
BIRMINGHAM,1990Q1,"$91,526","$68,577","$22,949",25.1%,0.666,0.481
BIRMINGHAM,1990Q2,"$92,250","$68,819","$23,431",25.4%,0.671,0.492
BIRMINGHAM,1990Q3,"$92,644","$69,053","$23,591",25.5%,0.674,0.495
BIRMINGHAM,1990Q4,"$92,894","$69,314","$23,580",25.4%,0.676,0.496
BIRMINGHAM,1991Q1,"$93,097","$69,640","$23,457",25.2%,0.677,0.495
BIRMINGHAM,1991Q2,"$94,543","$69,971","$24,572",26.0%,0.688,0.519
BIRMINGHAM,1991Q3,"$95,207","$70,293","$24,913",26.2%,0.693,0.528
BIRMINGHAM,1991Q4,"$96,009","$70,575","$25,434",26.5%,0.699,0.540
BIRMINGHAM,1992Q1,"$96,706","$70,862","$25,844",26.7%,0.704,0.551
BIRMINGHAM,1992Q2,"$97,422","$71,070","$26,352",27.0%,0.709,0.563
BIRMINGHAM,1992Q3,"$98,828","$71,334","$27,494",27.8%,0.719,0.588
BIRMINGHAM,1992Q4,"$99,762","$71,729","$28,032",28.1%,0.726,0.600
BIRMINGHAM,1993Q1,"$99,978","$72,218","$27,761",27.8%,0.727,0.592
BIRMINGHAM,1993Q2,"$101,701","$72,927","$28,774",28.3%,0.740,0.613
BIRMINGHAM,1993Q3,"$103,769","$73,671","$30,098",29.0%,0.755,0.642
BIRMINGHAM,1993Q4,"$104,789","$74,349","$30,440",29.0%,0.762,0.650
BIRMINGHAM,1994Q1,"$105,554","$74,887","$30,667",29.1%,0.768,0.655
BIRMINGHAM,1994Q2,"$107,880","$75,333","$32,547",30.2%,0.785,0.697
BIRMINGHAM,1994Q3,"$108,947","$75,763","$33,183",30.5%,0.793,0.712
BIRMINGHAM,1994Q4,"$110,540","$76,256","$34,284",31.0%,0.804,0.737
BIRMINGHAM,1995Q1,"$111,776","$76,946","$34,830",31.2%,0.813,0.753
BIRMINGHAM,1995Q2,"$112,894","$77,665","$35,229",31.2%,0.821,0.764
BIRMINGHAM,1995Q3,"$114,372","$78,480","$35,892",31.4%,0.832,0.780
BIRMINGHAM,1995Q4,"$114,899","$79,381","$35,518",30.9%,0.836,0.773
BIRMINGHAM,1996Q1,"$116,017","$80,301","$35,716",30.8%,0.844,0.778
BIRMINGHAM,1996Q2,"$118,507","$81,270","$37,238",31.4%,0.862,0.812
BIRMINGHAM,1996Q3,"$119,192","$82,140","$37,052",31.1%,0.867,0.810
BIRMINGHAM,1996Q4,"$119,685","$82,814","$36,871",30.8%,0.871,0.807
BIRMINGHAM,1997Q1,"$120,260","$83,232","$37,028",30.8%,0.875,0.812
BIRMINGHAM,1997Q2,"$122,102","$83,548","$38,555",31.6%,0.888,0.847
BIRMINGHAM,1997Q3,"$123,233","$83,933","$39,300",31.9%,0.897,0.866
BIRMINGHAM,1997Q4,"$123,698","$84,566","$39,132",31.6%,0.900,0.864
BIRMINGHAM,1998Q1,"$124,512","$85,611","$38,901",31.2%,0.906,0.863
BIRMINGHAM,1998Q2,"$126,174","$86,860","$39,314",31.2%,0.918,0.874
BIRMINGHAM,1998Q3,"$127,404","$88,182","$39,223",30.8%,0.927,0.874
BIRMINGHAM,1998Q4,"$128,450","$89,404","$39,046",30.4%,0.935,0.872
BIRMINGHAM,1999Q1,"$129,581","$90,407","$39,173",30.2%,0.943,0.877
BIRMINGHAM,1999Q2,"$131,766","$91,173","$40,593",30.8%,0.959,0.910
BIRMINGHAM,1999Q3,"$133,090","$91,760","$41,330",31.1%,0.968,0.928
BIRMINGHAM,1999Q4,"$134,087","$92,216","$41,871",31.2%,0.976,0.941
BIRMINGHAM,2000Q1,"$134,960","$92,483","$42,478",31.5%,0.982,0.953
BIRMINGHAM,2000Q2,"$137,428","$92,891","$44,537",32.4%,1.000,1.000
BIRMINGHAM,2000Q3,"$138,224","$93,399","$44,825",32.4%,1.006,1.008
BIRMINGHAM,2000Q4,"$138,286","$94,073","$44,212",32.0%,1.006,0.997
BIRMINGHAM,2001Q1,"$138,755","$95,110","$43,645",31.5%,1.010,0.991
BIRMINGHAM,2001Q2,"$141,157","$96,118","$45,040",31.9%,1.027,1.025
BIRMINGHAM,2001Q3,"$141,956","$97,168","$44,788",31.6%,1.033,1.022
BIRMINGHAM,2001Q4,"$142,359","$98,195","$44,163",31.0%,1.036,1.009
BIRMINGHAM,2002Q1,"$143,402","$99,025","$44,377",30.9%,1.043,1.012
BIRMINGHAM,2002Q2,"$146,234","$99,870","$46,364",31.7%,1.064,1.058
BIRMINGHAM,2002Q3,"$147,916","$100,567","$47,349",32.0%,1.076,1.082
BIRMINGHAM,2002Q4,"$149,507","$101,064","$48,443",32.4%,1.088,1.109
BIRMINGHAM,2003Q1,"$150,284","$101,435","$48,849",32.5%,1.094,1.122
BIRMINGHAM,2003Q2,"$151,867","$101,793","$50,074",33.0%,1.105,1.152
BIRMINGHAM,2003Q3,"$154,807","$102,531","$52,275",33.8%,1.126,1.204
BIRMINGHAM,2003Q4,"$155,602","$103,974","$51,628",33.2%,1.132,1.191
BIRMINGHAM,2004Q1,"$157,291","$106,291","$51,001",32.4%,1.145,1.177
